"date","count","size"
"2016-07-03 00:00:00",59,224840876396
"2016-07-04 00:00:00",70,566670925977
"2016-07-05 00:00:00",92,3207384784761
"2016-07-06 00:00:00",166,817322815678
"2016-07-07 00:00:00",193,930130637509
"2016-07-08 00:00:00",177,878290170546
"2016-07-09 00:00:00",242,421227970431
"2016-07-10 00:00:00",2377,3310599624440
"2016-07-11 00:00:00",5257,6705048198697
"2016-07-12 00:00:00",5195,7142603643820
"2016-07-13 00:00:00",10349,21317543986568
"2016-07-14 00:00:00",19775,31994205252263
"2016-07-15 00:00:00",35899,57641860250958
"2016-07-16 00:00:00",2722,3135711636779
"2016-07-17 00:00:00",125,565637508151
"2016-07-18 00:00:00",133,385271524284
"2016-07-19 00:00:00",126,426870584042
"2016-07-20 00:00:00",109,703672666237
"2016-07-21 00:00:00",1123,802739307967
"2016-07-22 00:00:00",162,730142909984
"2016-07-23 00:00:00",107,577462518868
"2016-07-24 00:00:00",121,1041563198518
"2016-07-25 00:00:00",90,433244474784
"2016-07-26 00:00:00",124,3169518698256
"2016-07-27 00:00:00",103,1030421467157
"2016-07-28 00:00:00",113,1895466085011
"2016-07-29 00:00:00",108,1430614363359
"2016-07-30 00:00:00",101,1859114925450
"2016-07-31 00:00:00",143,3119751999624
"2016-08-01 00:00:00",95,461166533037
"2016-08-02 00:00:00",61,714785584616
"2016-08-03 00:00:00",105,755732208020
"2016-08-04 00:00:00",132,3387200082500
"2016-08-05 00:00:00",80,270181840383
"2016-08-06 00:00:00",92,3516179364608
"2016-08-07 00:00:00",93,401126402021
"2016-08-08 00:00:00",118,832971326415
"2016-08-09 00:00:00",188,1210967903295
"2016-08-10 00:00:00",188,633301557129
"2016-08-11 00:00:00",106,648082967137
"2016-08-12 00:00:00",94,478523383307
"2016-08-13 00:00:00",75,765374768197
"2016-08-14 00:00:00",142,513656571966
"2016-08-15 00:00:00",80,1148574301904
"2016-08-16 00:00:00",143,1480604330004
"2016-08-17 00:00:00",141,514478228846
"2016-08-18 00:00:00",101,1055488240064
"2016-08-19 00:00:00",98,470052266401
"2016-08-20 00:00:00",76,341506443702
"2016-08-21 00:00:00",112,384692395749
"2016-08-22 00:00:00",98,356999074855
"2016-08-23 00:00:00",118,598124813642
"2016-08-24 00:00:00",123,1519529823800
